Ticker,Acurácia Dir %,Acertos,Erros,Dias Teste,Dias Treino,Classe,Coef. MIDAS,Retorno 1 Ano %,Sharpe Ratio,R$10k → Hoje,Lucro/Perda R$,Rentabilidade %,Recomendação,potencial_2026,retorno_proj_%,pct_dias_alta_%,preco_atual,preco_proj_dez26
SMFT3.SA,51.41,128,121,249,768,🔴 Fraco,45.6,-18.55,-0.404,8145.31,-1854.69,-18.55,⚖️  NEUTRO,83.2,101.3,85.4,18.73,37.7029
BEEF3.SA,49.4,123,126,249,798,🔴 Fraco,45.6,-18.37,-0.27,8162.55,-1837.45,-18.37,⚖️  NEUTRO,14.8,-99.87,0.0,3.97,0.0051
SANB11.SA,43.78,109,140,249,798,🔴 Fraco,45.5,-1.22,0.094,9877.54,-122.46,-1.22,⚖️  NEUTRO,82.4,75.03,95.0,27.22,47.6429
BBAS3.SA,50.6,126,123,249,798,🔴 Fraco,45.5,-8.91,-0.183,9109.45,-890.55,-8.91,⚖️  NEUTRO,16.5,-63.59,8.8,20.61,7.5036
KEPL3.SA,46.99,117,132,249,798,🔴 Fraco,45.4,-8.41,-0.091,9159.09,-840.91,-8.41,⚖️  NEUTRO,60.9,4.57,59.2,7.07,7.3928
ESPA3.SA,54.22,135,114,249,798,🟡 Bom,45.3,-15.91,-0.147,8408.82,-1591.18,-15.91,⚖️  NEUTRO,84.1,146.39,85.8,0.81,1.9957
VIVA3.SA,53.01,132,117,249,798,🟡 Bom,45.2,-12.97,-0.176,8702.62,-1297.38,-12.97,⚖️  NEUTRO,15.9,-78.98,0.0,22.15,4.6549
EVEN3.SA,49.4,123,126,249,798,🔴 Fraco,44.9,-12.56,-0.254,8744.0,-1256.0,-12.56,⚠️  CAUTELA,84.8,1081.42,100.0,5.75,67.9318
SIMH3.SA,53.41,133,116,249,798,🟡 Bom,44.2,-14.45,0.021,8555.35,-1444.65,-14.45,⚠️  CAUTELA,16.3,-76.57,1.5,9.12,2.1368
ANIM3.SA,54.22,135,114,249,798,🟡 Bom,43.9,-20.62,-0.089,7937.74,-2062.26,-20.62,⚠️  CAUTELA,86.3,2103.05,100.0,3.31,72.921
MDIA3.SA,44.58,111,138,249,798,🔴 Fraco,43.3,-13.46,-0.224,8653.86,-1346.14,-13.46,⚠️  CAUTELA,13.4,-92.41,0.0,19.7,1.4947
SUZB3.SA,47.79,119,130,249,798,🔴 Fraco,43.2,-14.2,-0.449,8579.58,-1420.42,-14.2,⚠️  CAUTELA,83.5,108.3,94.2,41.69,86.8394
TRIS3.SA,47.39,118,131,249,798,🔴 Fraco,42.8,-17.59,-0.33,8240.71,-1759.29,-17.59,⚠️  CAUTELA,83.2,180.22,93.5,4.32,12.1054
QUAL3.SA,47.39,118,131,249,798,🔴 Fraco,42.7,-16.65,-0.047,8335.03,-1664.97,-16.65,⚠️  CAUTELA,68.9,25.07,56.2,1.77,2.2137
LAND3.SA,51.41,128,121,249,749,🔴 Fraco,42.6,-29.27,-0.747,7072.56,-2927.44,-29.27,⚠️  CAUTELA,84.7,177.1,95.4,8.48,23.4984
AALR3.SA,51.0,127,122,249,798,🔴 Fraco,42.2,-41.71,-0.58,5829.23,-4170.77,-41.71,⚠️  CAUTELA,23.1,-41.03,31.2,3.55,2.0933
RAIL3.SA,51.81,129,120,249,798,🔴 Fraco,42.2,-22.68,-0.601,7732.42,-2267.58,-22.68,⚠️  CAUTELA,33.8,-12.63,34.2,13.85,12.1001
CASH3.SA,51.81,129,120,249,798,🔴 Fraco,41.0,-43.58,-0.898,5642.0,-4358.0,-43.58,⚠️  CAUTELA,84.5,111.97,93.1,4.46,9.4539
MYPK3.SA,50.2,125,124,249,798,🔴 Fraco,40.5,-23.69,-0.824,7630.91,-2369.09,-23.69,⚠️  CAUTELA,15.6,-50.73,3.5,9.02,4.4439
MGLU3.SA,46.59,116,133,249,798,🔴 Fraco,40.4,-27.0,-0.296,7299.57,-2700.43,-27.0,⚠️  CAUTELA,14.0,-99.44,0.0,6.35,0.0356
PCAR3.SA,44.18,110,139,249,798,🔴 Fraco,40.3,-34.88,-0.409,6511.63,-3488.37,-34.88,⚠️  CAUTELA,13.8,-95.67,3.8,1.96,0.0848
